"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "GraphQL", "Markdown", "JSON with Comments", "JSON", "YAML", "SCSS", "comment", "blank", "total"
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/loading/loading.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/miniCards/miniCard.styles.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/miniCards/miniCard.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/miniCards/movieMini/movieMini.styles.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/miniCards/movieMini/movieMini.tsx", "TypeScript React", 105, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 114
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/notFound/notFound.styles.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/notFound/notFound.tsx", "TypeScript React", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/popSlide/popSlide.styles.tsx", "TypeScript React", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/popSlide/popSlide.tsx", "TypeScript React", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 123
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/profileWindow/profileWindow.styles.tsx", "TypeScript React", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 201
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/profileWindow/profileWindow.tsx", "TypeScript React", 230, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 245
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/slider/slider.styles.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/slider/slider.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/smileyWindow/smileyWindow.styles.tsx", "TypeScript React", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 115
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/smileyWindow/smileyWindow.tsx", "TypeScript React", 138, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 151
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/toast/toast.styles.tsx", "TypeScript React", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/toast/toast.tsx", "TypeScript React", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"/Users/kishore/Documents/Github/QuietChat/extension/src/components/tooltip/tooltip.styles.tsx", "TypeScript React", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
