"filename", "language", "TypeScript", "XML", "TypeScript React", "CSS", "JSON", "JSON with Comments", "GraphQL", "YAML", "Markdown", "HTML", "comment", "blank", "total"
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/fragments/fullComment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/fragments/fullMovie.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/fragments/fullNotification.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/fragments/fullReply.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/fragments/fullUser.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/movie/mutations/getCommentsOfTheMovie.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/movie/query/getMovieById.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/notifications/query/getUserNotifications.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/replies/query/getRepliedUser.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/replies/query/getRepliesOfComment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/replies/query/getRepliesOfReply.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/replies/query/getReply.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/user/mutation/login.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/user/mutation/logout.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/user/mutation/saveProfilePhoto.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/user/query/getCommentedUser.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/user/query/getUser.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/user/query/me.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/user/query/userComments.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"/Users/kishore/Documents/Github/QuietChat/web/src/graphql/user/query/users.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/kishore/Documents/Github/QuietChat/web/src/index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/kishore/Documents/Github/QuietChat/web/src/index.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
"/Users/kishore/Documents/Github/QuietChat/web/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/app/app.css", "CSS", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/app/app.styles.tsx", "TypeScript React", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/app/app.tsx", "TypeScript React", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/commentThread/commentThread.styles.tsx", "TypeScript React", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 4, 169
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/commentThread/commentThread.tsx", "TypeScript React", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 2, 4, 148
"/Users/kishore/Documents/Github/QuietChat/web/src/pages/commentThread/replyThread.tsx", "TypeScript React", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 4, 8, 155
